time,,company,likes,comments,shares,url,text,object1 ,object2,object3,obj4,obj5,max_fine_recog,semantic_seg_perc,obj_sem_seg,similarity,total_engage
2024-01-01T14:00:00.000Z,,Amazon,279,335,19,https://www.facebook.com/Amazon/posts/955994695979053,Happy 2024! Find all our Customers' Most Loved products for the New Year. https://go.amzn.to/48zKt0r,0.07,0.04,0.02,0.02,0.02,0.07,0.52,obj3,0.186580836772918,633
2023-12-28T20:00:00.000Z,,Amazon,400,675,23,https://www.facebook.com/Amazon/posts/pfbid02aSxiNwaWBnjitoJph9L96CSQdfiMgvuuXAXcNugwruvqSJyE1QVzQoEHUtcWZuKHl,It's not too late to shop our Winter Sale! Click the link for all the deals. https://go.amzn.to/41UFRjH,0.29,0.07,0.06,0.04,0.04,0.29,0.52,obj4,0.203506454825401,1098
2023-12-26T17:00:00.000Z,,Amazon,500,756,56,https://www.facebook.com/Amazon/posts/pfbid0R56XUsu2LUp7ZyzVfVCrSJfxVASJM4oeqNvvoicgKTrHriUdfVsEnASU5k9ACcUEl,'Tis the shopping season! Our Winter Sale is live ❄️ https://go.amzn.to/48w0Via,0.8,0.03,0.03,0.02,0.02,0.8,0.35,obj2,0.192796781659126,1312
2023-12-23T14:00:01.000Z,,Amazon,426,438,31,https://www.facebook.com/Amazon/posts/pfbid0isnbHJfu17CJVxccv3uhn3EzhwCQBfSxTH4P1H2zWPYwmd6opfnTFp9XBjYrYBiCl,"Deck the halls with amazing last-minute gift giving, find the perfect gift card for all your loved-ones. https://go.amzn.to/48rohWd",0.42,0.02,0.03,0.01,0.01,0.42,0.43,obj1,0.198520585894584,895
2023-12-20T22:00:00.000Z,,Amazon,450,879,37,https://www.facebook.com/Amazon/posts/pfbid02icVmewkPSETQfF2MLiAC5q3QURHVgRVbgzxjipxp2hE8xpKKheFgkwiuEfGMsUFTl,"Boogie over to shop last-minute holiday deals on decor, gifts, and more.  go.amzn.to/1813",0.18,0.1,0.06,0.03,0.03,0.18,0.44,obj1,0.17513632774353,1366
2023-12-19T22:00:00.000Z,,Amazon,419,583,47,https://www.facebook.com/Amazon/posts/pfbid0LeEX8Cm6p8jgjnM4TskQ23tN5EnVx5boru6aaL6exn3YE8dPBQRw8tv4ZN3xePWJl,Seasonal sips that’ll take your soirée to the next level. Shop last-minute deals on hosting essentials. https://go.amzn.to/3REPe3g,0.08,0.06,0.04,0.04,0.04,0.08,0.27,obj1,0.194322913885116,1049
2023-12-16T22:00:01.000Z,,Amazon,472,578,51,https://www.facebook.com/Amazon/posts/pfbid02Up6X5bJ9RB9qwpPrzPSbREJayRe74BHvEsYTtgmupH3mHEcTj14r7r6s7zSATFaEl,"A sprinkle of this, and a dash of that. Shop last-minute deals on baking must-haves. https://go.amzn.to/470LZrk",0.2,0.16,0.06,0.04,0.03,0.2,0.27,obj1,0.190189883112907,1101
2023-12-13T22:00:01.000Z,,Amazon,400,554,30,https://www.facebook.com/Amazon/posts/pfbid0EBKHPgPuZWPrG27xw2c6q6yqdd9wXAizKvE6agYEkgzSU3s7Yx7p8PHrS6ndVUjKl,Spread joy & save coins with last-minute deals on holiday gifts. https://go.amzn.to/3TzlDKb,0.22,0.1,0.07,0.04,0.03,0.22,0.15,obj3,0.16368992626667,984
2023-12-10T22:00:00.000Z,,Amazon,495,815,34,https://www.facebook.com/Amazon/posts/pfbid02KTDFitsNegA376s8t8UG1rAsPshrHx9HhZSY4fY6Yr7Fk7KYyy8Ges7W29z726t8l,Don't show up to the holidays empty handed. Shop great gifts for the ho-ho-host.  https://go.amzn.to/3RtsrHu,0.46,0.05,0.03,0.02,0.02,0.46,0.1,obj1,0.229034900665283,1344
2023-12-09T22:00:00.000Z,,Amazon,356,414,33,https://www.facebook.com/Amazon/posts/pfbid0XQhRSHyX57hihD3xj6nWLVueC9pRiTfEMVr14TYY41mjyhznm1Xnp6gqd2vLCf7Kl,Beautifully wrapped & ready to be ripped. Shop holiday deals on gifts and wrapping. https://go.amzn.to/3TiBJro,0.24,0.16,0.15,0.04,0.03,0.24,0.18,obj1,0.191355213522911,803
2023-12-07T22:00:01.000Z,,Amazon,484,718,66,https://www.facebook.com/Amazon/posts/pfbid0gZ2ELSy7EXug9emVENiczxmMZoUGGbfGxKfNUN34JZJbwAgHKXhVq91sWPGKcXtHl,Get wrapped up in the holiday spirit with gifts for everyone on your list. https://go.amzn.to/3t6sjV5,0.31,0.08,0.05,0.05,0.02,0.31,0.27,obj4,0.182846367359161,1268
2023-12-06T22:00:00.000Z,,Amazon,368,425,37,https://www.facebook.com/Amazon/posts/pfbid0y4FNcqDiPftuyMBkAJ5Eqeu7o4hPdYZ9f41UuYzcPwgjK8UcUenDBgm9a5TnLZpbl,Gift them the tools they need to make your house a home for the holidays. Shop gifts for people who love home improvement. https://go.amzn.to/417j7fW,0.33,0.12,0.1,0.02,0.02,0.33,0.95,obj2,0.18853735923767,830
2023-12-05T22:00:02.000Z,,Amazon,391,866,27,https://www.facebook.com/Amazon/posts/pfbid02jy22TRmF6XBGEXa6gG1YFWFAvAYWvyHSgCJ98sQB7p4STkwjmYypvjxnVYVkeUZGl,Now is the time to get the deals you want on the best gifts. Check the link in our bio and let the saving begin. https://go.amzn.to/3RoKHSr,0.24,0.09,0.06,0.05,0.03,0.24,0.19,obj1,0.173951685428619,1284
2023-12-02T22:00:01.000Z,,Amazon,311,560,25,https://www.facebook.com/Amazon/posts/pfbid02L1yWZhHmATGBULcHXYeqUWXysscG1MFWGTRXJvnYxer7ZTP8toE2agZ9U1WY7bful,Plant the seeds of holiday cheer with big deals on gardening goodies. Shop holiday deals. https://go.amzn.to/3sX7ICu,0.26,0.09,0.06,0.04,0.03,0.26,0.92,obj3,0.205883711576461,896
2023-12-31T20:00:31.000Z,,Berkshire Hathways,824,52,254,https://www.facebook.com/BHHSRealEstate/posts/pfbid0mXLTWFq2HjtoWLmnr9GqZwEb8SGg9Re33tUz7iSfRBAC5SaggpPv2KxLkKdjAZ1bl,"Here’s to a successful and joyful 2024 to all of you!  If your new year’s resolutions include buying, selling, or upgrading property, be sure to reach out to your Forever Agent℠ so you can maximize your chances of kicking off your new year with the resources you need.

#HappyNewYear #BHHS #RealEstateGoals #NewYearsResolutions",0.31,0.23,0.04,0.03,0.01,0.31,0.27,obj3,0.126166835427284,1130
2024-01-01T20:50:33.000Z,,Walmart,233,88,4,https://www.facebook.com/walmart/posts/359464440029690:359464440029690,,0.48,0.13,0.01,0.01,0.01,0.48,0.3,obj4,0.180265516042709,325
2023-12-29T17:00:20.000Z,,Berkshire Hathways,50,7,9,https://www.facebook.com/BHHSRealEstate/posts/pfbid0G5cp2NgHDHT71T6mS236doX7XyWUDnzjtViJwZn69qVcFeNH6hmFN9a2TpWDAsJ4l,"Special thanks to filmmaker Erik Conover for an exclusive tour of this unparalleled $30 million oceanfront masterpiece, represented by our network’s own Paul Grover at Berkshire Hathaway HomeServices Robert Paul Properties.

Conover ventured through this exceptional residence, where commanding views of Nantucket Sound unfold along an extraordinary 280 feet of private sandy beach. Nestled within 3.66 acres of magnificent landscaping, boasting specimen trees and lush plantings that ensure absolute privacy, the home harmoniously integrates amenities such as a 5,000-bottle wine cellar, golf simulator, gym, massage room, 7 garage spaces, and a separate staff house. 

Watch the video here: https://www.youtube.com/watch?v=DMGLIZxOO2E",0.66,0.07,0.05,0.04,0.04,0.66,0.94,obj1,0.21603187918663,66
2023-12-28T17:00:25.000Z,,Berkshire Hathways,570,56,44,https://www.facebook.com/BHHSRealEstate/posts/pfbid02QAnPeaUpDdSZrRTr1XDqXgxr1J8ansVB1xKBnqXQGW3QPTrqbiQWdC8KQuGkYtDdl,"We're thrilled to share that the cover property of Prestige magazine's Fall 2023 issue has just sold for a record-breaking $10,650,000—making it the highest-priced home sale on Wrightsville Beach to date! 

Congratulations to Peter Sweyer of Berkshire Hathaway HomeServices Carolina Premier Properties on this milestone transaction.  

#RecordSale #BHHS #BHHSRealEstate",0.93,0.02,0.01,0.01,0.01,0.93,0.56,obj1,0.165844962000846,670
2023-12-19T06:38:10.000Z,,Microsoft,14,3,1,https://www.facebook.com/MicrosoftIndia/posts/pfbid0n5LNfdxzJVZsND8fEw7sPBfCvfnb8gYtBZD9SJqdB6rWCrwaAHCzbkiTXztFHXQul,"Prevent bad actors from intercepting sensitive data. Learn about the different types of email encryption, and how they work, and get advice for choosing the best solution: http://msft.it/6180iZgWn #EmailSecurity",0.07,0.06,0.05,0.05,0.05,0.07,0.93,obj4,0.156704738736152,18
